Index,X (m),Y (m),Z (m),Distance from Origin (m)
0,10.1158,11.9302,-1.0355,15.6758
1,6.5203,12.8070,-1.0010,14.4061
2,-0.7603,16.3411,-0.9910,16.3888
3,4.7313,16.1995,-0.9251,16.9016
4,2.8058,14.4844,-0.9146,14.7820
5,-1.1665,19.2740,-0.9107,19.3307
6,3.6786,8.6020,-0.8891,9.3977
7,8.4786,9.3674,-0.8879,12.6658
8,2.8401,10.4246,-0.8638,10.8390
9,6.3974,12.6899,-0.8574,14.2371
10,6.8845,9.8984,-0.8040,12.0839
11,11.6612,8.5704,-0.8023,14.4941
12,21.4379,8.1112,-0.7986,22.9350
13,6.0620,9.2306,-0.7969,11.0719
14,8.8282,9.7934,-0.7860,13.2086
15,18.4625,6.7308,-0.7689,19.6662
16,8.7505,10.5148,-0.7686,13.7012
17,23.1505,11.1884,-0.7607,25.7236
18,4.8797,10.8510,-0.7367,11.9205
19,5.4632,8.6917,-0.7310,10.2920
20,3.5466,15.5059,-0.7289,15.9230
21,15.0757,7.6121,-0.7166,16.9037
22,21.5017,11.9824,-0.7132,24.6254
23,22.8049,4.8292,-0.7106,23.3214
24,-3.6874,14.6328,-0.7047,15.1067
25,-2.1651,14.5617,-0.7040,14.7387
26,9.0931,10.2431,-0.7037,13.7149
27,18.8439,11.9345,-0.6879,22.3159
28,13.9293,9.5383,-0.6838,16.8959
29,12.3982,13.4715,-0.6798,18.3209
30,7.7635,8.1137,-0.6797,11.2502
31,11.5266,11.7825,-0.6736,16.4968
32,5.2147,6.1660,-0.6734,8.1035
33,15.2997,12.6909,-0.6723,19.8895
34,8.9669,10.1179,-0.6671,13.5359
35,1.7361,9.6717,-0.6607,9.8484
36,13.5858,13.2605,-0.6585,18.9960
37,3.7923,7.5207,-0.6512,8.4479
38,2.8273,9.0673,-0.6499,9.5201
39,5.0365,7.3842,-0.6431,8.9613
40,18.2154,7.9565,-0.6410,19.8876
41,10.6385,8.3057,-0.6387,13.5119
42,1.4367,22.3511,-0.6374,22.4063
43,5.0358,6.0314,-0.6371,7.8831
44,20.1596,5.8492,-0.6344,21.0006
45,17.3571,10.3284,-0.6325,20.2075
46,21.2390,6.3555,-0.6266,22.1783
47,16.8864,6.4254,-0.6260,18.0784
48,6.2493,7.0014,-0.6258,9.4056
49,21.0302,8.4877,-0.6234,22.6870
50,4.1671,5.8587,-0.6228,7.2165
51,18.5454,8.1897,-0.6215,20.2827
52,-0.0890,9.3128,-0.6207,9.3338
