Z Center (m),Z Min (m),Z Max (m),Point Count,Percentage,Cumulative %
-2.9365,-3.0391,-2.8338,5,0.00,0.00
-2.7311,-2.8338,-2.6284,0,0.00,0.00
-2.5258,-2.6284,-2.4231,1,0.00,0.00
-2.3204,-2.4231,-2.2177,8,0.00,0.00
-2.1151,-2.2177,-2.0124,3,0.00,0.00
-1.9097,-2.0124,-1.8071,11,0.00,0.00
-1.7044,-1.8071,-1.6017,11,0.00,0.00
-1.4990,-1.6017,-1.3964,18,0.00,0.00
-1.2937,-1.3964,-1.1910,755,0.02,0.02
-1.0883,-1.1910,-0.9857,1980,0.06,0.08
-0.8830,-0.9857,-0.7803,39773,1.20,1.28
-0.6776,-0.7803,-0.5750,179545,5.41,6.69
-0.4723,-0.5750,-0.3696,257541,7.76,14.44
-0.2670,-0.3696,-0.1643,446936,13.46,27.90
-0.0616,-0.1643,0.0411,502741,15.14,43.04
0.1437,0.0411,0.2464,620448,18.68,61.73
0.3491,0.2464,0.4518,514593,15.50,77.22
0.5544,0.4518,0.6571,49385,1.49,78.71
0.7598,0.6571,0.8624,24421,0.74,79.45
0.9651,0.8624,1.0678,23580,0.71,80.16
1.1705,1.0678,1.2731,23039,0.69,80.85
1.3758,1.2731,1.4785,16485,0.50,81.35
1.5812,1.4785,1.6838,14357,0.43,81.78
1.7865,1.6838,1.8892,16444,0.50,82.27
1.9918,1.8892,2.0945,12170,0.37,82.64
2.1972,2.0945,2.2999,10737,0.32,82.96
2.4025,2.2999,2.5052,9397,0.28,83.25
2.6079,2.5052,2.7106,11393,0.34,83.59
2.8132,2.7106,2.9159,14778,0.45,84.04
3.0186,2.9159,3.1212,19812,0.60,84.63
3.2239,3.1212,3.3266,22841,0.69,85.32
3.4293,3.3266,3.5319,23673,0.71,86.03
3.6346,3.5319,3.7373,23310,0.70,86.73
3.8400,3.7373,3.9426,22330,0.67,87.41
4.0453,3.9426,4.1480,21228,0.64,88.05
4.2506,4.1480,4.3533,19625,0.59,88.64
4.4560,4.3533,4.5587,18322,0.55,89.19
4.6613,4.5587,4.7640,17508,0.53,89.72
4.8667,4.7640,4.9694,17608,0.53,90.25
5.0720,4.9694,5.1747,17845,0.54,90.78
5.2774,5.1747,5.3800,16351,0.49,91.28
5.4827,5.3800,5.5854,15303,0.46,91.74
5.6881,5.5854,5.7907,16635,0.50,92.24
5.8934,5.7907,5.9961,22183,0.67,92.91
6.0988,5.9961,6.2014,26472,0.80,93.70
6.3041,6.2014,6.4068,27520,0.83,94.53
6.5094,6.4068,6.6121,22658,0.68,95.21
6.7148,6.6121,6.8175,17857,0.54,95.75
6.9201,6.8175,7.0228,15150,0.46,96.21
7.1255,7.0228,7.2282,12982,0.39,96.60
7.3308,7.2282,7.4335,11406,0.34,96.94
7.5362,7.4335,7.6388,10496,0.32,97.26
7.7415,7.6388,7.8442,9825,0.30,97.55
7.9469,7.8442,8.0495,8756,0.26,97.82
8.1522,8.0495,8.2549,8003,0.24,98.06
8.3576,8.2549,8.4602,6795,0.20,98.26
8.5629,8.4602,8.6656,5569,0.17,98.43
8.7682,8.6656,8.8709,4658,0.14,98.57
8.9736,8.8709,9.0763,3888,0.12,98.69
9.1789,9.0763,9.2816,4226,0.13,98.82
9.3843,9.2816,9.4870,5569,0.17,98.98
9.5896,9.4870,9.6923,6492,0.20,99.18
9.7950,9.6923,9.8976,6086,0.18,99.36
10.0003,9.8976,10.1030,5446,0.16,99.53
10.2057,10.1030,10.3083,2513,0.08,99.60
10.4110,10.3083,10.5137,1857,0.06,99.66
10.6164,10.5137,10.7190,1174,0.04,99.69
10.8217,10.7190,10.9244,896,0.03,99.72
11.0271,10.9244,11.1297,715,0.02,99.74
11.2324,11.1297,11.3351,660,0.02,99.76
11.4377,11.3351,11.5404,693,0.02,99.78
11.6431,11.5404,11.7458,620,0.02,99.80
11.8484,11.7458,11.9511,608,0.02,99.82
12.0538,11.9511,12.1565,653,0.02,99.84
12.2591,12.1565,12.3618,579,0.02,99.86
12.4645,12.3618,12.5671,583,0.02,99.87
12.6698,12.5671,12.7725,510,0.02,99.89
12.8752,12.7725,12.9778,501,0.02,99.91
13.0805,12.9778,13.1832,383,0.01,99.92
13.2859,13.1832,13.3885,387,0.01,99.93
13.4912,13.3885,13.5939,426,0.01,99.94
13.6965,13.5939,13.7992,327,0.01,99.95
13.9019,13.7992,14.0046,294,0.01,99.96
14.1072,14.0046,14.2099,184,0.01,99.97
14.3126,14.2099,14.4153,159,0.00,99.97
14.5179,14.4153,14.6206,136,0.00,99.97
14.7233,14.6206,14.8259,140,0.00,99.98
14.9286,14.8259,15.0313,138,0.00,99.98
15.1340,15.0313,15.2366,118,0.00,99.99
15.3393,15.2366,15.4420,108,0.00,99.99
15.5447,15.4420,15.6473,83,0.00,99.99
15.7500,15.6473,15.8527,71,0.00,99.99
15.9553,15.8527,16.0580,51,0.00,100.00
16.1607,16.0580,16.2634,48,0.00,100.00
16.3660,16.2634,16.4687,16,0.00,100.00
16.5714,16.4687,16.6741,15,0.00,100.00
16.7767,16.6741,16.8794,7,0.00,100.00
16.9821,16.8794,17.0847,10,0.00,100.00
17.1874,17.0847,17.2901,12,0.00,100.00
17.3928,17.2901,17.4954,34,0.00,100.00
